Kategori,Baslik,Malzemeler,Malzemelerin Miktari,Tarifteki malzemeler,Hazirlanis,Kalori (kcal),Karbonhidrat (g),Protein (g),Yag (g)
Aperatifler,Milföylü Çam Ağacı Böreği,"milföy, beyaz peynir, yumurta sarısı, ucu ile tuz, ince kıyılmış maydanoz, zeytinyağı","1 paket, 1 kase, 1 adet, 1 çay kaşığı, 1 kase, 2 yemek kaşığı",1 paket milföy | 1 kase beyaz peynir | 1 adet yumurta sarısı | 1 çay kaşığının ucu ile tuz | 1 kase ince kıyılmış maydanoz | 2 yemek kaşığı zeytinyağı,"Dolaptan çıkarıp yumuşamış milföyümüzü küçük kareler keselim. İçerisine peynirimizi ekleyip yuvarlak şekil verelim. Yağlı kağıt serilmiş fırın kabına çam ağacı şeklinde dizelim. Yumurta sarısı sürüp 180 derece pişirelim. Pişen poğaçamızı fırından çıkarıp ilk sıcaklığı geçince üzerine maydanoz,zeytinyağını ve tuzu karıştırıp üzerine sürüp servis edelim.",,,,
Aperatifler,Kuru Patlıcan Dolması,"kuru patlıcan, kıyma, kuru soğan (rendeliyoruz veya robottan geçiriyoruz ), biraz az pirinç, zeytinyağı, yemek kaşığı domates salçası, yemek kaşığı biber salçası, su bardağı domates sosu, çay bardağı nar ekşisi ( daha fazlada olabilir), sumak ekşisi ( yoksa sumağı direkt baharat olarakta ekleyebilirsiniz), Karabiber, Tuz, Pul biber, Kimyon, Nane","20- 30 adet, 250 gram, 1 adet, 1 su bardağı, 1 çay bardağı, 1 buçuk, 1 buçuk, Yarım, Yarım, 1 yemek kaşığı, Belirtilmemiş, Belirtilmemiş, Belirtilmemiş, Belirtilmemiş, Belirtilmemiş",20- 30 adet kuru patlıcan | 250 gram kıyma | 1 adet kuru soğan (rendeliyoruz veya robottan geçiriyoruz ) | 1 su bardağından biraz az pirinç | 1 çay bardağı kadar zeytinyağı | 1 buçuk yemek kaşığı domates salçası | 1 buçuk yemek kaşığı biber salçası | Yarım su bardağı domates sosu | Yarım çay bardağı nar ekşisi ( daha fazlada olabilir) | 1 yemek kaşığı sumak ekşisi ( yoksa sumağı direkt baharat olarakta ekleyebilirsiniz) | Karabiber | Tuz | Pul biber | Kimyon | Nane,"Kıyma, soğan, pirinç, salçalar ve baharatları bir kapta yoğuruyoruz. Patlıcanları tuzlu suda iyice yumuşayana kadar kaynatıyoruz. Kaynayan patlıcanları süzüp içindeki tohumları çıkartalım ki tohumlar dolmayı acılaştırmasın. Yoğurduğumuz harcı patlıcanların içine dolduralım ve doldurduğumuz patlıcanları tencereye dizelim. Patlıcanların üzerini bir tabak ile kapatıp kısık ateşte pişiriyoruz.",,,,
Aperatifler,Yoğurtlu Semizotu Salatası,"semizotu, havuç, mısır, yoğurt, mayonez, sarımsak, çay kaşığı nane, Tuz, Zeytinyağ","1 demet, 1 adet, 1 çay bardağı, 1,5 su bardağı, 2 yemek kaşığı, 2 diş, Yarım, Belirtilmemiş, Belirtilmemiş","1 demet semizotu | 1 adet havuç | 1 çay bardağı mısır | 1,5 su bardağı yoğurt | 2 yemek kaşığı mayonez | 2 diş sarımsak | Yarım çay kaşığı nane | Tuz | Zeytinyağ","Yıkanmış temizlenmiş ve doğranmış semizotunu bir kaba alın. Üzerine rendelenmiş ve hafif yağda sotelenmiş havucu ekleyin. Mısırıda ilave edin. Ayrı bir kasede tüm sos malzemelerini karıştırıp üzerine ekleyin, karıştırın. Servis tabağına alıp üzerine zeytinyağ gezdirin. Afiyet olsun 🤤.",,,,
Aperatifler,Zeytinyağlı Girit Kabağı,"orta boy girit kabak, basmati pirinç, domates, kuru soğan, demet maydanoz, demet dereotu, kuş üzümü, biber salçası, kimyon, sarımsak, Zeytinyağ, Tuz, Süzme yoğurt, mayonez, Sarımsak","7 adet, 8 yemek kaşığı, 1 adet, 2 adet, Yarım, Yarım, 1 yemek kaşığı, 1 yemek kaşığı, 1 yemek kaşığı, 2 diş, Belirtilmemiş, Belirtilmemiş, Belirtilmemiş, 2 yemek kaşığı, Belirtilmemiş",7 adet orta boy girit kabak | 8 yemek kaşığı basmati pirinç | 1 adet domates | 2 adet kuru soğan | Yarım demet maydanoz | Yarım demet dereotu | 1 yemek kaşığı kuş üzümü | 1 yemek kaşığı biber salçası | 1 yemek kaşığı kimyon | 2 diş sarımsak | Zeytinyağ | Tuz | Süzme yoğurt | 2 yemek kaşığı mayonez | Sarımsak,"Kabakları ortadan oyalım, ardından kuru soğanı küçük küpler şeklinde doğrayın. Ardından domatesi rendeleyelim, maydanoz, dereotunu, ince,ince doğrayalım. Karıştırma kasenin içine, maydanoz,dereotu, biber salçası, basmati pirinç, tuz, karabiber, kimyon, kurusoğan, zeytinyağı,kuş üzümü,ilave ederek birlikte tüm dolma harcını karıştıralım. Dolma harcını, kabağın üzerinden bir parmak eksik, olucak şekilde,girit kabağını doldurarak tencereye dizin. Dolmanın yarısına gelecek şekilde ,dolmanın suyunu tencerenin kenarından bırakalım. Orta ateşte girit kabağı pişirelim. Ardından kabak piştikten sonra servis tabağına bırakın. Üzene sarımsaklı yoğurt ilave ederek servis yapın. Afiyet olsun 🙏🪷.",,,,
Aperatifler,Nefis Tavuk Tantuni,"tavuk bonfile, toz kırmızı biber, kimyon, karabiber, tuz, çay bardağı sıvı yağ, orta boy soğan, demet maydanoz, sumak, orta boy domates, Lavaş","2 adet, 2 yemek kaşığı, 2 çay kaşığı, 1 çay kaşığı, 1 tatlı kaşığı, Yarım, 2 adet, Yarım, 1 tatlı kaşığı, 3 adet, Belirtilmemiş",2 adet tavuk bonfile | 2 yemek kaşığı toz kırmızı biber | 2 çay kaşığı kimyon | 1 çay kaşığı karabiber | 1 tatlı kaşığı tuz | Yarım çay bardağı sıvı yağ | 2 adet orta boy soğan | Yarım demet maydanoz | 1 tatlı kaşığı sumak | 3 adet orta boy domates | Lavaş,"Tavukları küçük küpler halinde doğruyoruz. Tencerenin içine küçük küpler halinde doğradığımız tavukları koyup üzerine 1 su bardağı su ekliyoruz. Tencerenin kapağını kapatıp tavuk suyunu çekene kadar pişiriyoruz. Tavuklar suyunu çekince üzerine tuz, karabiber, kimyon, yarım çay bardağı sıvı yağ ve yarım çay bardağı su ekliyoruz ve kapağını kapatıp orta ateşte tavuklar suyu çekene kadar pişiriyoruz. Soğanları ortadan ikiye bölerek piyazlık doğruyoruz. Üzerine sumak ve tuz ekleyip ovuyoruz. Dallarından ayırıp yıkadığımız maydanozları küçük küçük doğrayıp soğanın içine ilave edip karıştırıyoruz. Domateslerin kabuklarını soyup küçük küçük doğruyoruz. Tavuk suyu çekince yarım çay bardağı su ilave edip hafif karıştırıyoruz. Daha sonra tavukları kenara alarak ortada boşluk oluşturuyoruz. Bu boşlukta biriken suyun içine lavaşı koyup hafif döndürerek lavaşın sos ile yumuşamasını sağlıyoruz. Lavaş sos ile yumuşayınca düz bir tabağa alıp içine maydanozlu soğandan ve domateşten bir sıra koyuyoruz. Hazırladığımıs tavuktan da bir sıra koyup lavaşımızı rulo haline getiriyoruz. Dilerseniz içine turşu ve limon da ekleyebilirsiniz. Hazırdan farksız bu efsane lezzeti afiyetle ve sağlıkla tüketmeniz dileğiyle. Afiyet olsun. 😊.",,,,
Aperatifler,Yeşil Mercimek Salatası,"haşlanmış yeşil mercimek, Dereotu, Maydonoz, mor soğan, Haşlanmış mısır, kırmızı kapya biber, kornişon turşu, Pancar turşusu, havuç, Domates kurusu, (yarım) limon, nar ekşisi, zeytin yağı, Tuz, Kimyon","2 su bardağı, Belirtilmemiş, Belirtilmemiş, 1 adet, Belirtilmemiş, 1 adet, 4 adet, Belirtilmemiş, 1 adet, Belirtilmemiş, 1/2, 2 tatlı kaşığı, 1 çay bardağı, Belirtilmemiş, Belirtilmemiş",2 su bardağı haşlanmış yeşil mercimek | Dereotu | Maydonoz | 1 adet mor soğan | Haşlanmış mısır | 1 adet kırmızı kapya biber | 4 adet kornişon turşu | Pancar turşusu | 1 adet havuç | Domates kurusu | 1/2 (yarım) limon | 2 tatlı kaşığı nar ekşisi | 1 çay bardağı zeytin yağı | Tuz | Kimyon,"Bir kaba yeşil mercimeği, haşlanmış mısır tanelerini, rendelenmiş havucu, iyice ufalttığımız maydanoz ve soğanımızı, doğradığımız pancar ve kornişon turşumuzu alalım. Yumuşaması için ılık suda beklettiğimiz kuru domateslerimizi doğrayıp ekleyelim. Dere otumuzu maydanoza göre daha iri şekilde bırakacak şekilde doğrayıp ekleyelim. Zeytinyağı, limon, nar ekşisi, tuz ve kimyonumuzu ekleyip salatamızı karıştıralım.",,,,
Aperatifler,Brokoli Salatasını Birde Böyle Deneyin ( Çok Seveceksiniz),"küçük boy brokoli, büyük boy patates, havuç, demet maydanoz, sıvı yağ, yoğurt süzme yada normal yoğurt susuz yerinden, mayonez, sarımsak, Tuz, ceviz ( iri doğranmış), sıvı yağ, kırmızı toz biber, İnce kıyılmış maydanoz","1 adet, 1 adet, 1 adet, Yarım, 3-4 yemek kaşığı, 1 kase, 1 yemek kaşığı, 1 diş, Belirtilmemiş, 4 adet, 2 yemek kaşığı, 1 çay kaşığı, Belirtilmemiş",1 adet küçük boy brokoli | 1 adet büyük boy patates | 1 adet havuç | Yarım demet maydanoz | 3-4 yemek kaşığı sıvı yağ | 1 kase yoğurt süzme yada normal yoğurt susuz yerinden | 1 yemek kaşığı mayonez | 1 diş sarımsak | Tuz | 4 adet ceviz ( iri doğranmış) | 2 yemek kaşığı sıvı yağ | 1 çay kaşığı kırmızı toz biber | İnce kıyılmış maydanoz,"Brokoliyi küçük çiçekler halinde kesip yıkayalım kaynamış suya ilave edip 5 dakika haşlayalım. Sürenin sonunda brokolileri süzüp soğuk sudan geçirip bir kenara alalım. Patatesi soyup küp küp doğrayalım 3-4 yemek kaşığı sıvı yağ eklediğimiz tavada kızartalım. Havuçları da soyup halka doğradıktan sonra patatesleri aldıktan sonra tavaya ilave edip aynı şekilde kızartalım. Yarım demet maydanozu yıkayıp ince kıyalım birazını üzeri için ayırıp kalanını salataya ilave edelim. Yoğurt sosu için; bir kaseye yoğurdu alalım eğer süzme yoğurt kullanıyorsanız biraz suyla açalım ,normal yoğurt için suya gerek yok üzerine bir yemek kaşığı mayonez bir diş ezilmiş sarımsak ve tuz ilave edip çırpalım. Hazırladığımız soğumuş olan sebzelerin üzerine yoğurdu ilave edip brokolileri ezmeden dikkatlice karıştıralım. Üzeri için küçük bir sos tavasına 2 yemek kaşığı sıvı yağ alıp üzerine iri doğradığımız cevizleri ilave edelim, yakmadan kısık ateşte 1-2 dakika kavuralım ocağı kapatıp üzerine bir çay kaşığı toz kırmızı biber ilave edip karıştıralım. Yoğurtla karıştırdığımız salatayı servis tabağına alıp üzerini ceviz ve maydanozla süsleyip servis edelim.",,,,
Aperatifler,Semizotlu Nohutlu Yasemin Pirinçli Pilav,"semizotu, yasemin pirinç, haşlanmış nohut, kuru soğan, su, tuz, toz şeker ,limon suyu, çay kaşığı karabiber, tereyağı, zeytinyağı veya sıvı yağ","1 demet, 1 su bardağı, 1 su bardağı, 1 adet, 2 su bardağı, 1 çay kaşığı, Yarım, 1 yemek kaşığı, 5 yemek kaşığı","1 demet semizotu | 1 su bardağı yasemin pirinç | 1 su bardağı haşlanmış nohut | 1 adet kuru soğan | 2 su bardağı su | 1 çay kaşığı tuz, toz şeker ,limon suyu | Yarım çay kaşığı karabiber | 1 yemek kaşığı tereyağı | 5 yemek kaşığı zeytinyağı veya sıvı yağ","Semizotu ayıklayalım yıkayalım. Süzgeçe alalım tencereye yağları koyalım. Rendelenmiş soğanı koyalım, bir dk kısık ateşte kavuralım. Sonra ılık suda bekletip, yıkayıp süzdüğümüz yasemin pirinç ilave edip iki dk kavuralım, sıcak suyunu dökelim, nohutları dökelim tuz ,baharat serpelim, karıştıralım. Fokurdayıncaya ocağın altını kısalım. Kısık ateşte 10 dk piştikten sonra semizotu ilave edip katalım karıştıralım. Suyunu çekene kadar pişirelim, afiyet olsun.",,,,
Aperatifler,Kedi Dili Pasta,"kedi dili, beyaz çikolata (120 gr), sade krem şanti, sıvı krema, labne (180 gr), Dilediğiniz meyve, sütlü çikolata, bitterli çikolata, sıvı krema","2 paket, 2 paket, 2 paket, 1 paket, 1 paket, Belirtilmemiş, 1 paket, 1 paket, 1 paket",2 paket kedi dili | 2 paket beyaz çikolata (120 gr) | 2 paket sade krem şanti | 1 paket sıvı krema | 1 paket labne (180 gr) | Dilediğiniz meyve | 1 paket sütlü çikolata | 1 paket bitterli çikolata | 1 paket sıvı krema,"Öncelikle beyaz çikolatayı benmari usulü eritiyoruz. Çikolata kenarda soğurken 2 paket toz krem şanti ve 1 paket kremayı koyulaşana kadar karıştırıyoruz. Sonra üzerine 1 paket (180 gr) labne ve erittigimiz beyaz çikolatayı ekliyoruz. Kedi dillerinin boyunu kek kalıbına göre ayarlayıp kesiyoruz. (kelepçeli kalıp da kullanabilirsiniz). Kedi dillerini süt ile ıslatıp ,şekerli kısımları dışa bakacak şekilde, önce yanlara sonra en alt kata yerleştiriyoruz. Sonra kremanın yarısını ve içine ekleyeceğiniz meyveyi ardından yeniden kedi dilini ekliyoruz. Son kat için kremanın kalan yarısını da ekleyip yine meyve ve kedi dili koyuyoruz. Bu şekilde pastayı 1 gece dolapta bekletiyoruz. Daha sonra çikolata sosu hazırlıyoruz. 1 paket kremayı ocakta ısıtıp içine 1 paket bitter 1 paket de sütlü çikolata ekliyoruz. Dinlenen pastayı ters çevirip en üste çikolatalı ganajı döküyoruz. Bu aşamada buzdolabında 1 saat daha beklerse süper olur. Sonrasında süsleyip servis edebilirsiniz.",,,,
Aperatifler,Mercimek Köftesi,"kırmızı mercimek, kısırlık bulgur, su, büyük boy soğan, domates salçası, biber salçası, taze soğan, demet maydanoz, yağ, Pulbiber, Karabiber, Kimyon, Kırmızı toz biber, Tuz","2 su bardağı, 1 su bardağı, 5 bardak, 1, 2 yemek kaşığı, 1,5 yemek kaşığı, 6-7 dal, Yarım, 1 çay bardağı, Belirtilmemiş, Belirtilmemiş, Belirtilmemiş, Belirtilmemiş, Belirtilmemiş","2 su bardağı kırmızı mercimek | 1 su bardağı kısırlık bulgur | 5 bardak su | 1 büyük boy soğan | 2 yemek kaşığı domates salçası | 1,5 yemek kaşığı biber salçası | 6-7 dal taze soğan | Yarım demet maydanoz | 1 çay bardağı yağ | Pulbiber | Karabiber | Kimyon | Kırmızı toz biber | Tuz","Mercimeğin üzerine su konulup, iyice yumuşayana kadar pişirilir. Kaynamaya başlayınca altı kapatılıp irmik eklenir ve 20 dakika dinlenmeye bırakılır. Soğan ve salça kavrulur. Üzerine baharatlar eklenir ve mercimeklerin üzerine eklenip yoğrulur. En son maydanoz ve taze soğan da eklenerek son kez yoğrulur ve şekil verilir. Afiyet olsun 😋",,,,
